lon,lat,infestation_percentage
108.8844752,34.83540956,0
108.8868098,34.84044172,0
108.4262201,34.43588899,0
108.9590405,34.94821602,0
108.8717262,34.95007758,0
108.871885,34.94998896,0
109.0202817,35.09390573,0
108.8630649,34.95141258,0
108.9090936,34.85137533,0
108.8607715,34.95093496,0
108.9090936,34.85137533,0
108.8630649,34.95141258,0
108.9090936,34.85137533,0
108.8231809,35.02030157,0
108.8884728,34.94742084,0
108.8352172,35.00160567,0
108.888474,34.94743244,0
108.8351904,35.00162147,0
108.8464762,34.98925504,0
108.8621291,34.97601407,0
108.8884729,34.94742089,0
114.0943325,36.09852562,0
108.9849679,34.72229257,0
108.9849679,34.72229257,0
108.9849679,34.72229257,0
108.9849679,34.72229257,0
114.0947684,36.0985234,0
114.0943368,36.09861479,0
114.0938609,36.09832988,0
108.968603,35.086616,0
108.9086154,35.0076988,0
108.9741383,34.76985,0
108.8883975,35.22738643,0
108.9741383,34.76985,0
109.0012097,34.74123601,0
108.9076276,34.84954849,0
109.0005532,34.74304277,0
109.0005532,34.74304277,0
108.9849679,34.72229257,0
108.8177112,34.87142498,0
108.781484,34.91450711,0
108.981328,34.77057749,0
108.8667133,35.01813222,0
108.9481254,35.10104595,0
108.96778,35.08508333,0
108.8662463,35.01670299,0
108.9678741,35.08515537,0
108.9679009,35.08518219,0
108.9679725,35.08526106,0
108.9741383,34.76985,0
108.981328,34.77057749,0
108.9928962,34.7409188,0
107.9134153,34.44678996,0
108.9965179,34.74159291,0
108.9979969,34.74030422,0
108.9996129,34.74375271,0
107.9011988,34.49566194,0
107.902311,34.4911605,0
107.9001724,34.49480867,0
108.9489395,35.10729275,0
109.0070158,34.74502614,0
108.96013,35.086287,0
109.0060328,34.74763189,0
108.960123,35.086282,0
108.960133,35.086289,0
108.9992983,34.743365,0
108.9900974,34.7326424,0
109.0003979,34.74815733,0
108.994028,34.7326319,0
108.997933,34.73265403,0
108.9996213,34.75261889,0
109.0022209,34.7339326,0
108.9996213,34.75261889,0
109.0084372,34.74005243,0
109.0084372,34.74005243,0
108.8621291,34.97601407,0
108.888474,34.94743244,0
108.8621291,34.97601407,0
108.9488786,35.10709047,0
108.9487284,35.10739088,0
108.9487392,35.10737479,0
108.948648,35.1074928,0
108.9785066,34.77095431,0
108.9487821,35.10733724,0
108.9487821,35.10732651,0
108.969163,34.719619,0
108.9487982,35.10730576,0
108.973615,34.75779667,0
108.994304,34.757364,0
108.9718643,34.74866517,0
108.9830833,34.76157667,0
108.9740891,34.73384409,0
108.981328,34.77057749,0
108.9966409,34.75413613,0
108.9741383,34.76985,0
108.992866,34.76131469,0
108.9833383,34.76668242,0
107.902311,34.4911605,0
107.8931021,34.45815762,0
108.871885,34.94998896,0
108.8607715,34.95093496,0
108.8884729,34.94742089,0
108.8842916,34.83498581,0
108.8843888,34.8355091,0
108.8844752,34.83540956,0
108.8889915,34.83530855,0
108.887106,34.84044662,0
108.8868098,34.84044172,0
108.8717262,34.95007758,0
110.5464317,35.280605,0
110.533649,35.278051,0
110.533649,35.278051,0
108.8630649,34.95141258,0
108.9849679,34.72229257,0
108.9921973,34.73678434,0
114.0938609,36.09832988,0
114.0938609,36.09832988,0
108.8352172,35.00160567,0
108.8231809,35.02030157,0
108.8464762,34.98925504,0
108.9993305,34.74056774,0
108.792854,34.8805071,0
108.9849679,34.72229257,0
108.7989712,34.89154756,0
108.7928414,34.88051164,0
108.7928153,34.88043054,0
108.984375,38.27268854,0
108.7925979,34.88036859,0
120.9375,38.82259098,0
108.0336821,34.3022783,0
108.0339503,34.30242897,0
108.0334447,34.30240581,0
107.8848332,34.44863902,0
107.896532,34.45761975,0
108.7928293,34.88045565,0
108.9843548,34.7170831,0
114.0943325,36.09852562,0
114.0947684,36.0985234,0
114.0943368,36.09861479,0
114.0943368,36.09861479,0
108.9880439,34.72274295,0
108.9843686,34.71707143,0
108.9745278,34.72958918,0
108.974423,34.72954367,0
108.9680633,34.75707633,0
108.9680039,34.7663706,0
109.1849433,35.48834146,0
109.1844567,35.48805236,0
108.2053532,34.37259519,0
108.2360387,34.39039326,0
107.902311,34.4911605,0
109.1837766,35.48762916,0
107.9011988,34.49566194,0
109.1832062,35.4874106,0
109.1797929,35.48535313,0
108.4279815,34.43347951,0
109.1789577,35.4848617,0
108.4287103,34.43357595,0
108.4262201,34.43588899,0
109.1850774,35.48732679,0
107.8966524,34.4594722,0
109.1921567,35.48633191,0
107.9134153,34.44678996,0
110.553636,35.27195393,0
107.9180207,34.45093955,0
108.7925979,34.88036859,0
108.7928153,34.88043054,0
108.7928414,34.88051164,0
108.9928962,34.7409188,0
108.9965179,34.74159291,0
108.7928293,34.88045565,0
108.9979969,34.74030422,0
108.7989712,34.89154756,0
108.9993305,34.74056774,0
108.792854,34.8805071,0
109.0012097,34.74123601,0
109.0021753,34.74338794,0
107.9001724,34.49480867,0
108.8884729,34.94742089,0
109.0005532,34.74304277,0
108.8884728,34.94742084,0
108.9996129,34.74375271,0
108.9988762,34.7426202,0
108.9966212,34.74215876,0
115.267776,35.26752037,0
108.888474,34.94743244,0
0,0,0
108.997933,34.73265403,0
109.0022209,34.7339326,0
108.994304,34.757364,0
109.0084372,34.74005243,0
